timestamp,role,experience,usage_frequency,devices,workflows_used,workflows_used_count,workflow_to_improve,workflow_category,workflow_frequency,steps_estimate,steps_numeric,intrinsic_difficulty,extraneous_difficulty,task_time,task_time_seconds,friction_points,friction_tags,stuck_point,stuck_tags,key_fix,key_fix_category,priority_workflows,priority_primary,priority_secondary,clarity_importance,comments,task_time_category,role_Academic staff (lecturer),role_Administrative staff,role_Student,priority_score
2025-11-11 15:29:49.110,Administrative staff,3+ years,Daily,Desktop / Laptop,"['View or update personal profile / contact information', 'Search and register for courses', 'View grades or exam results', 'Find a student’s transcript and export it (PDF/CSV)', 'Enrol / Unenrol a student in a course', 'Generate a student payment or status report', 'Submit or approve course grades', 'Manage tuition payments or invoices (administrators)', 'Prepare academic reports or statistics', 'generate orders and references as well as diploma supplements']",10,Prepare academic reports or statistics,,A few times per semester,7+,7.0,3,3,> 10 min,660.0,['Lack of flexibility regarding the type of information that needs to be included in the report'],,It’s not about getting stuck somewhere. It is just inconvenient and not intuitive,,"It’s not just one thing, the entire system should be much easier to navigate. Right now the system is too heavy for the small business school",,"['Approve or update a study plan', 'Prepare academic reports or statistics']",,,5,,4.0,False,True,False,21
2025-11-11 15:33:03.155,Student,1-3 years,Rarely,"Desktop / Laptop, Mobile phone",['Find a student’s transcript and export it (PDF/CSV)'],1,Find a student’s transcript and export it (PDF/CSV),,A few times per semester,3-4,3.5,2,2,< 1 min,240.0,['Important actions are hidden / too small / far away'],,,,,,"['Search and register for courses', 'Find a student’s transcript and export it (PDF/CSV)']",,,3,,,False,False,True,8
2025-11-11 15:41:51.203,Academic staff (lecturer),3+ years,Rarely,Desktop / Laptop,['View or update personal profile / contact information'],1,View or update personal profile / contact information,,Rarely,3-4,3.5,2,2,3–5 min,240.0,['Confusing terminology or unclear field names'],,,,,,['View or update personal profile / contact information'],,,2,,2.0,True,False,False,7
2025-11-11 15:42:09.750,Student,Less than 6 months,A few times per month,"Desktop / Laptop, Mobile phone","['Search and register for courses', 'View grades or exam results', 'Search / View course lists']",3,View grades or exam results,,Monthly,Not sure,3.5,5,5,> 10 min,660.0,"['I can’t find the right menu or label', 'Too many pages/tabs for one action', 'Confusing terminology or unclear field names', 'Important actions are hidden / too small / far away']",,,,"Make it clear where to see grades, i can't find them",,"['Search and register for courses', 'View grades or exam results']",,,4,,4.0,False,False,True,17
2025-11-11 15:55:09.974,Student,Less than 6 months,A few times per month,"Desktop / Laptop, Mobile phone",['Find a student’s transcript and export it (PDF/CSV)'],1,Search / View course lists,,Rarely,3-4,3.5,3,4,1–3 min,120.0,"['I can’t find the right menu or label', 'Too many pages/tabs for one action']",,"The main page, just confusing",,new not 2000s ingterface,,"['Search and register for courses', 'Search / View course lists']",,,2,,1.0,False,False,True,10
2025-11-11 16:05:38.616,Student,3+ years,A few times per month,"Desktop / Laptop, Mobile phone","['Search and register for courses', 'View grades or exam results', 'Find a student’s transcript and export it (PDF/CSV)']",3,View grades or exam results,,Monthly,3-4,3.5,4,5,1–3 min,120.0,"['I can’t find the right menu or label', 'Confusing terminology or unclear field names']",,"Finding the summary of the transcripts, even tho that is the most important document you can get when looking for grades ",,Putting it as an option to the main page right away ,,"['Search and register for courses', 'Find a student’s transcript and export it (PDF/CSV)']",,,5,,1.0,False,False,True,17
2025-11-11 16:08:13.377,Student,1-3 years,A few times per month,Desktop / Laptop,"['Search and register for courses', 'View grades or exam results', 'Manage tuition payments or invoices (administrators)']",3,Enrol / Unenrol a student in a course,,A few times per semester,5-6,5.5,2,3,3–5 min,240.0,['Steps are not intuitive sometimes'],,When looking to register for electives ,,That things you can click and where you are supposed to click would be marked clearer.,,['Search and register for courses'],,,3,,2.0,False,False,True,11
2025-11-11 16:21:14.922,Student,Less than 6 months,Rarely,Desktop / Laptop,"['Search and register for courses', 'View grades or exam results']",2,Prepare academic reports or statistics,,A few times per semester,1-2,1.5,3,3,1–3 min,120.0,"['I can’t find the right menu or label', 'Too many pages/tabs for one action', 'Important actions are hidden / too small / far away']",,,,,,"['Search and register for courses', 'View grades or exam results']",,,2,,1.0,False,False,True,10
2025-11-11 16:28:00.403,Student,1-3 years,A few times per month,Desktop / Laptop,"['View or update personal profile / contact information', 'View grades or exam results', 'Find a student’s transcript and export it (PDF/CSV)']",3,Search and register for courses,,Rarely,5-6,5.5,1,3,3–5 min,240.0,"['I can’t find the right menu or label', 'Mobile view is hard to use']",,,,,,['View course schedule'],,,4,,2.0,False,False,True,11
2025-11-11 16:46:01.961,Student,Less than 6 months,A few times per week,"Desktop / Laptop, Mobile phone",['View grades or exam results'],1,View grades or exam results,,Weekly,Not sure,3.5,1,4,1–3 min,120.0,"['I can’t find the right menu or label', 'Confusing terminology or unclear field names', 'Important actions are hidden / too small / far away']",,I do not like that you have to press some kind of summary to see your grades,,,,"['View course schedule', 'View grades or exam results']",,,4,,1.0,False,False,True,10
